Spectral_Cluster,PT1,PT2,PT3,PT4
0,25.09090909090909,13.818181818181818,28.72727272727273,32.36363636363636
1,14.62857142857143,4.0,44.457142857142856,36.91428571428572
2,18.30708661417323,15.157480314960631,28.543307086614174,37.99212598425197
3,40.609137055837564,13.19796954314721,27.411167512690355,18.781725888324875
4,29.55223880597015,9.850746268656717,25.671641791044774,34.92537313432836
5,18.269230769230766,8.173076923076923,53.36538461538461,20.192307692307693
6,16.39344262295082,12.295081967213115,49.18032786885246,22.131147540983605
7,20.0,10.0,38.0,32.0
8,22.89156626506024,28.915662650602407,19.27710843373494,28.915662650602407
9,70.31700288184439,14.985590778097983,6.628242074927954,8.069164265129682
