Rank,Eigenvalue,Eigengap_To_Next
1,1.0000005,0.0015389919
2,0.9984615,0.00026917458
3,0.9981923,0.0011957288
4,0.9969966,0.0007173419
5,0.99627924,0.002643764
6,0.9936355,0.00040227175
7,0.9932332,0.0039037466
8,0.98932946,0.004801035
9,0.9845284,0.001921773
10,0.98260665,0.00019079447
11,0.98241585,0.0039457083
12,0.97847015,0.0075625777
13,0.97090757,0.0014796257
14,0.96942794,0.0021151304
15,0.9673128,0.003379941
16,0.9639329,0.0031656623
17,0.9607672,0.012072504
18,0.9486947,0.00932914
19,0.93936557,
